date,temp_f
2015-05-14,59.7
2015-05-15,63.2
2015-05-16,65.2
2015-05-17,70.4
2015-05-18,63.6
2015-05-19,61.6
2015-05-20,69.3
2015-05-21,57.1
2015-05-22,61.8
2015-05-23,59.3
2015-05-24,65.7
2015-05-25,72.5
2015-05-26,75.2
2015-05-27,73.5
2015-05-28,73.4
2015-05-29,73
2015-05-30,73.1
2015-05-31,74.6
2015-06-01,57.4
2015-06-02,52
2015-06-03,58.2
2015-06-04,58.1
2015-06-05,59.5
2015-06-06,65.7
2015-06-07,65.3
2015-06-08,67.5
2015-06-09,70.6
2015-06-10,74.2
2015-06-11,80.2
2015-06-12,80.7
2015-06-13,80.5
2015-06-14,77
2015-06-15,70.3
2015-06-16,68.1
2015-06-17,73.9
2015-06-18,66.8
2015-06-19,73.2
2015-06-20,69.5
2015-06-21,75
2015-06-22,79.6
2015-06-23,84.4
2015-06-24,77.1
2015-06-25,76.5
2015-06-26,74.8
2015-06-27,69
2015-06-28,64.2
2015-06-29,71.3
2015-06-30,75.3
2015-07-01,76.4
2015-07-02,75.7
2015-07-03,73.5
2015-07-04,71.8
2015-07-05,72
2015-07-06,77.1
2015-07-07,79.5
2015-07-08,82.5
2015-07-09,73.8
2015-07-10,75.8
2015-07-11,78.6
2015-07-12,81.1
2015-07-13,80.4
2015-07-14,76.1
2015-07-15,75.9
2015-07-16,72.1
2015-07-17,73.5
2015-07-18,76.3
2015-07-19,84.3
2015-07-20,89.1
2015-07-21,86
2015-07-22,77.1
2015-07-23,76.1
2015-07-24,78.2
2015-07-25,78.1
2015-07-26,79.8
2015-07-27,79.9
2015-07-28,82.8
2015-07-29,86.3
2015-07-30,82.1
2015-07-31,81.1
2015-08-01,83.7
2015-08-02,81
2015-08-03,82.5
2015-08-04,84.2
2015-08-05,80.5
2015-08-06,76.3
2015-08-07,75.8
2015-08-08,74.7
2015-08-09,75.7
2015-08-10,74.5
2015-08-11,75.1
2015-08-12,77.3
2015-08-13,75.7
2015-08-14,78.9
2015-08-15,81.4
2015-08-16,82.8
2015-08-17,84.7
2015-08-18,83.4
2015-08-19,80.2
2015-08-20,81
2015-08-21,78.7
2015-08-22,76.6
2015-08-23,75.8
2015-08-24,78.5
2015-08-25,80.6
2015-08-26,76.9
2015-08-27,74.2
2015-08-28,73.1
2015-08-29,76.8
2015-08-30,79.1
2015-08-31,82.7
2015-09-01,82.6
2015-09-02,77.1
2015-09-03,82.6
2015-09-04,80.3
2015-09-05,72.9
2015-09-06,73.9
2015-09-07,77.8
2015-09-08,83.3
2015-09-09,81.1
2015-09-10,75.3
2015-09-11,72.4
2015-09-12,74.6
2015-09-13,72.6
2015-09-14,66.6
2015-09-15,73.2
2015-09-16,76.8
2015-09-17,78
2015-09-18,76.9
2015-09-19,73.9
2015-09-20,73.3
2015-09-21,66.3
2015-09-22,66.3
2015-09-23,67.6
2015-09-24,69.9
2015-09-25,68.5
2015-09-26,65.9
2015-09-27,62.2
2015-09-28,68.5
2015-09-29,72.6
2015-09-30,73.2
2015-10-01,59.4
2015-10-02,53.9
2015-10-03,51.6
2015-10-04,57.1
